,SettlementPoints,Year,Month,Average Price
384,LZ_HOUSTON,2016,01,19.56393817204301
385,LZ_HOUSTON,2016,02,15.487988505747126
386,LZ_HOUSTON,2016,03,17.20672947510094
387,LZ_HOUSTON,2016,04,19.128930555555556
388,LZ_HOUSTON,2016,05,19.90399193548387
389,LZ_HOUSTON,2016,06,29.915083333333335
390,LZ_HOUSTON,2016,07,29.911868279569887
391,LZ_HOUSTON,2016,08,33.56354838709677
392,LZ_HOUSTON,2016,09,29.032680555555554
393,LZ_HOUSTON,2016,10,28.54581989247312
394,LZ_HOUSTON,2016,11,20.437680555555556
395,LZ_HOUSTON,2016,12,25.73684139784946
396,LZ_HOUSTON,2017,01,24.827365591397847
397,LZ_HOUSTON,2017,02,23.51721726190476
398,LZ_HOUSTON,2017,03,28.742005383580082
399,LZ_HOUSTON,2017,04,32.96706944444445
400,LZ_HOUSTON,2017,05,32.36264784946237
401,LZ_HOUSTON,2017,06,33.66891666666667
402,LZ_HOUSTON,2017,07,34.725833333333334
403,LZ_HOUSTON,2017,08,30.031478494623652
404,LZ_HOUSTON,2017,09,27.410027777777778
405,LZ_HOUSTON,2017,10,31.33938172043011
406,LZ_HOUSTON,2017,11,26.339624999999998
407,LZ_HOUSTON,2017,12,21.979784946236556
408,LZ_HOUSTON,2018,01,38.04498655913978
409,LZ_HOUSTON,2018,02,22.375848214285714
410,LZ_HOUSTON,2018,03,23.933458950201885
411,LZ_HOUSTON,2018,04,24.728347222222222
412,LZ_HOUSTON,2018,05,35.53303763440861
413,LZ_HOUSTON,2018,06,31.80234722222222
414,LZ_HOUSTON,2018,07,79.56653225806451
415,LZ_HOUSTON,2018,08,32.159623655913975
416,LZ_HOUSTON,2018,09,27.722416666666668
417,LZ_HOUSTON,2018,10,31.781115591397853
418,LZ_HOUSTON,2018,11,31.730333333333327
419,LZ_HOUSTON,2018,12,30.462069892473117
420,LZ_HOUSTON,2019,01,25.550080645161287
421,LZ_HOUSTON,2019,02,21.644255952380952
422,LZ_HOUSTON,2019,03,28.080323014804847
423,LZ_HOUSTON,2019,04,24.264583333333334
424,LZ_HOUSTON,2019,05,25.153615591397852
425,LZ_HOUSTON,2019,06,27.226736111111112
426,LZ_HOUSTON,2019,07,30.013064516129035
427,LZ_HOUSTON,2019,08,126.69338709677417
428,LZ_HOUSTON,2019,09,80.77929166666667
429,LZ_HOUSTON,2019,10,30.642379032258066
430,LZ_HOUSTON,2019,11,24.181611111111113
