,SettelementPoint,Year,Hour,Volatility
193,HB_HUBAVG,2016,01,0.4963173910898572
194,HB_HUBAVG,2016,02,0.5399852842725222
195,HB_HUBAVG,2016,03,0.49835054490574343
196,HB_HUBAVG,2016,04,0.4342724286341983
197,HB_HUBAVG,2016,05,0.36563355158417987
198,HB_HUBAVG,2016,06,0.38640340112294647
199,HB_HUBAVG,2016,07,0.3015322629334866
200,HB_HUBAVG,2016,08,0.22411657694324807
201,HB_HUBAVG,2016,09,0.21033976694658835
202,HB_HUBAVG,2016,10,0.20623801162395086
203,HB_HUBAVG,2016,11,0.24663616348170525
204,HB_HUBAVG,2016,12,0.2943849318337216
205,HB_HUBAVG,2016,13,0.3777445682707164
206,HB_HUBAVG,2016,14,0.4727907334537293
207,HB_HUBAVG,2016,15,0.5756813023613851
208,HB_HUBAVG,2016,16,0.5796069822423779
209,HB_HUBAVG,2016,17,0.354040859910849
210,HB_HUBAVG,2016,18,0.24599151445772582
211,HB_HUBAVG,2016,19,0.2434934180288906
212,HB_HUBAVG,2016,20,0.24218275888589888
213,HB_HUBAVG,2016,21,0.2584899068780419
214,HB_HUBAVG,2016,22,0.268503297376522
215,HB_HUBAVG,2016,23,0.32043864596549676
216,HB_HUBAVG,2017,00,0.28965609539605325
217,HB_HUBAVG,2017,01,0.35201230846806825
218,HB_HUBAVG,2017,02,0.39118093451462366
219,HB_HUBAVG,2017,03,0.3596791116069353
220,HB_HUBAVG,2017,04,0.3165013334817521
221,HB_HUBAVG,2017,05,0.21119347088042012
222,HB_HUBAVG,2017,06,0.2039350327356463
223,HB_HUBAVG,2017,07,0.16968224504170853
224,HB_HUBAVG,2017,08,0.1427053707733852
225,HB_HUBAVG,2017,09,0.12185055336888446
226,HB_HUBAVG,2017,10,0.12383731705471791
227,HB_HUBAVG,2017,11,0.16182114468934272
228,HB_HUBAVG,2017,12,0.2103989551066563
229,HB_HUBAVG,2017,13,0.28872120045660304
230,HB_HUBAVG,2017,14,0.37352206623568207
231,HB_HUBAVG,2017,15,0.4682548404869088
232,HB_HUBAVG,2017,16,0.4464762933140821
233,HB_HUBAVG,2017,17,0.23015288862321467
234,HB_HUBAVG,2017,18,0.1776472606099531
235,HB_HUBAVG,2017,19,0.15970756692172136
236,HB_HUBAVG,2017,20,0.17634028548267192
237,HB_HUBAVG,2017,21,0.14821574528291478
238,HB_HUBAVG,2017,22,0.17101007737683774
239,HB_HUBAVG,2017,23,0.21207048669404535
240,HB_HUBAVG,2018,00,0.2943797361379254
241,HB_HUBAVG,2018,01,0.3229239697484398
242,HB_HUBAVG,2018,02,0.3443131278949536
243,HB_HUBAVG,2018,03,0.3328949143862438
244,HB_HUBAVG,2018,04,0.3259803306496186
245,HB_HUBAVG,2018,05,0.3317751789734325
246,HB_HUBAVG,2018,06,0.483038182430599
247,HB_HUBAVG,2018,07,0.44178384787349323
248,HB_HUBAVG,2018,08,0.33304792478816203
249,HB_HUBAVG,2018,09,0.26127657082924927
250,HB_HUBAVG,2018,10,0.22361753807347742
251,HB_HUBAVG,2018,11,0.216751561454009
252,HB_HUBAVG,2018,12,0.2671055529778124
253,HB_HUBAVG,2018,13,0.3771935590533055
254,HB_HUBAVG,2018,14,0.5604145319263978
255,HB_HUBAVG,2018,15,0.7438673489929323
256,HB_HUBAVG,2018,16,0.7945291222702938
257,HB_HUBAVG,2018,17,0.6073483691695957
258,HB_HUBAVG,2018,18,0.34549848298182845
259,HB_HUBAVG,2018,19,0.26208881321681554
260,HB_HUBAVG,2018,20,0.2346653268094883
261,HB_HUBAVG,2018,21,0.21750503916632868
262,HB_HUBAVG,2018,22,0.22287613647606458
263,HB_HUBAVG,2018,23,0.2511765502496977
264,HB_HUBAVG,2019,00,0.29229517275050754
265,HB_HUBAVG,2019,01,0.3284462061941003
266,HB_HUBAVG,2019,02,0.3440772791065906
267,HB_HUBAVG,2019,03,0.3254521837147645
268,HB_HUBAVG,2019,04,0.2994980442810166
269,HB_HUBAVG,2019,05,0.28439457736291257
270,HB_HUBAVG,2019,06,0.4788653863912869
271,HB_HUBAVG,2019,07,0.41863062902602177
272,HB_HUBAVG,2019,08,0.31264885905203843
273,HB_HUBAVG,2019,09,0.2712979996860136
274,HB_HUBAVG,2019,10,0.2263216318304732
275,HB_HUBAVG,2019,11,0.2331848455283809
276,HB_HUBAVG,2019,12,0.34035517385747704
277,HB_HUBAVG,2019,13,0.6633937953032901
278,HB_HUBAVG,2019,14,0.915864119329243
279,HB_HUBAVG,2019,15,1.0961076907783007
280,HB_HUBAVG,2019,16,1.1059284057149306
281,HB_HUBAVG,2019,17,0.7775809211419231
282,HB_HUBAVG,2019,18,0.4089479869429568
283,HB_HUBAVG,2019,19,0.29066567080224054
284,HB_HUBAVG,2019,20,0.2602241437976093
285,HB_HUBAVG,2019,21,0.20677360034420422
286,HB_HUBAVG,2019,22,0.20741202047880677
287,HB_HUBAVG,2019,23,0.23501782655321796
288,HB_NORTH,2016,00,0.38858347803149085
289,HB_NORTH,2016,01,0.46481349081156903
290,HB_NORTH,2016,02,0.5108337479753317
291,HB_NORTH,2016,03,0.47621628239553915
292,HB_NORTH,2016,04,0.4137910225128049
293,HB_NORTH,2016,05,0.34716653508605577
294,HB_NORTH,2016,06,0.37878354271998566
295,HB_NORTH,2016,07,0.29164898041495896
296,HB_NORTH,2016,08,0.21602287213495378
297,HB_NORTH,2016,09,0.20450362040370407
298,HB_NORTH,2016,10,0.19897854838809903
299,HB_NORTH,2016,11,0.2365757913781745
300,HB_NORTH,2016,12,0.27419810412322343
301,HB_NORTH,2016,13,0.3479137523544501
302,HB_NORTH,2016,14,0.4408489112894595
303,HB_NORTH,2016,15,0.5513002355584181
304,HB_NORTH,2016,16,0.5612455627494066
305,HB_NORTH,2016,17,0.3424411047514288
306,HB_NORTH,2016,18,0.24119956798342398
307,HB_NORTH,2016,19,0.23460261393549753
308,HB_NORTH,2016,20,0.23691403838711916
309,HB_NORTH,2016,21,0.24621876027254563
310,HB_NORTH,2016,22,0.24603306508536263
311,HB_NORTH,2016,23,0.29640957086780373
312,HB_NORTH,2017,00,0.25808423347876236
313,HB_NORTH,2017,01,0.3299321690859735
314,HB_NORTH,2017,02,0.36331685329598795
315,HB_NORTH,2017,03,0.3265900792084731
316,HB_NORTH,2017,04,0.29413163130494974
317,HB_NORTH,2017,05,0.1914807999152229
318,HB_NORTH,2017,06,0.21634066039092106
319,HB_NORTH,2017,07,0.17916554842146348
320,HB_NORTH,2017,08,0.15283706154555143
321,HB_NORTH,2017,09,0.13598035670724445
322,HB_NORTH,2017,10,0.13773575960289752
323,HB_NORTH,2017,11,0.16790059532499094
324,HB_NORTH,2017,12,0.21019743770909574
325,HB_NORTH,2017,13,0.2737088281099151
326,HB_NORTH,2017,14,0.343015528909061
327,HB_NORTH,2017,15,0.44346768486687976
328,HB_NORTH,2017,16,0.42978990725734717
329,HB_NORTH,2017,17,0.24905622219417148
330,HB_NORTH,2017,18,0.1994183774877515
331,HB_NORTH,2017,19,0.17655411590533854
332,HB_NORTH,2017,20,0.1860032194502099
333,HB_NORTH,2017,21,0.15871592995343103
334,HB_NORTH,2017,22,0.1601476715556281
335,HB_NORTH,2017,23,0.17965459684319235
336,HB_NORTH,2018,00,0.24677255872734896
337,HB_NORTH,2018,01,0.26155188002362384
338,HB_NORTH,2018,02,0.2818740219648401
339,HB_NORTH,2018,03,0.2800816656024255
340,HB_NORTH,2018,04,0.28227875592298374
341,HB_NORTH,2018,05,0.3097565647931774
342,HB_NORTH,2018,06,0.47750616500849
343,HB_NORTH,2018,07,0.43391363864147126
344,HB_NORTH,2018,08,0.3238452459569556
345,HB_NORTH,2018,09,0.24941347409098572
346,HB_NORTH,2018,10,0.21004584317051114
347,HB_NORTH,2018,11,0.20521725699180104
348,HB_NORTH,2018,12,0.26385009818751304
349,HB_NORTH,2018,13,0.38110781679127487
350,HB_NORTH,2018,14,0.5660295065629232
351,HB_NORTH,2018,15,0.7519753688230373
352,HB_NORTH,2018,16,0.8010298580734382
353,HB_NORTH,2018,17,0.6115179942975185
354,HB_NORTH,2018,18,0.3429957098424274
355,HB_NORTH,2018,19,0.25764611751596117
356,HB_NORTH,2018,20,0.2317358815986446
357,HB_NORTH,2018,21,0.2053373039799496
358,HB_NORTH,2018,22,0.20334298727460723
359,HB_NORTH,2018,23,0.2145956682539692
360,HB_NORTH,2019,00,0.259366532525914
361,HB_NORTH,2019,01,0.29564892989606156
362,HB_NORTH,2019,02,0.3099167115633837
363,HB_NORTH,2019,03,0.2924036019246591
364,HB_NORTH,2019,04,0.27204724615076664
365,HB_NORTH,2019,05,0.2702814406970535
366,HB_NORTH,2019,06,0.47516819046295883
367,HB_NORTH,2019,07,0.4171669173007447
368,HB_NORTH,2019,08,0.31284393771013147
369,HB_NORTH,2019,09,0.2737827837624345
370,HB_NORTH,2019,10,0.22810403033888044
371,HB_NORTH,2019,11,0.23274729675019404
372,HB_NORTH,2019,12,0.33921429910638806
373,HB_NORTH,2019,13,0.661723519229481
374,HB_NORTH,2019,14,0.9142814174086955
375,HB_NORTH,2019,15,1.0956942134189371
376,HB_NORTH,2019,16,1.1049978515798524
377,HB_NORTH,2019,17,0.7748421557451022
378,HB_NORTH,2019,18,0.40322090792434034
379,HB_NORTH,2019,19,0.2888991503955614
380,HB_NORTH,2019,20,0.26003972074328213
381,HB_NORTH,2019,21,0.20380005933105366
382,HB_NORTH,2019,22,0.19695877564004421
383,HB_NORTH,2019,23,0.20774751659986554
384,HB_SOUTH,2016,00,0.40134303737294796
385,HB_SOUTH,2016,01,0.4810651468666236
386,HB_SOUTH,2016,02,0.5251823073679773
387,HB_SOUTH,2016,03,0.4862994294407415
388,HB_SOUTH,2016,04,0.4265944687799718
389,HB_SOUTH,2016,05,0.38628446633906427
390,HB_SOUTH,2016,06,0.5552565730010994
391,HB_SOUTH,2016,07,0.5008780617479861
392,HB_SOUTH,2016,08,0.4597080529507376
393,HB_SOUTH,2016,09,0.4634444323151397
394,HB_SOUTH,2016,10,0.24613335638914222
395,HB_SOUTH,2016,11,0.2564238884935998
396,HB_SOUTH,2016,12,0.2959455190130936
397,HB_SOUTH,2016,13,0.38093455507421575
398,HB_SOUTH,2016,14,0.49543447015875874
399,HB_SOUTH,2016,15,0.5849717996269829
400,HB_SOUTH,2016,16,0.5836024783468616
401,HB_SOUTH,2016,17,0.3567790422435284
402,HB_SOUTH,2016,18,0.24200473008188608
403,HB_SOUTH,2016,19,0.23807008271045804
